Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
37.5594, 753.885, 0.0498212, 0.0691143, 19.17, 10.00, 1, 0, 1, 50.000, 20.00, 0.000
86.5294, 753.885, 0.114778, 0.086699, 20.67, 10.00, 1, 0, 1, 50.000, 20.00, 0.000
133.667, 753.885, 0.177304, 0.100022, 22.18, 10.00, 1, 0, 1, 50.000, 20.00, 0.000
180.672, 753.885, 0.239655, 0.111229, 23.67, 10.00, 1, 0, 1, 50.000, 20.00, 0.000
227.680, 753.885, 0.302009, 0.121856, 25.15, 10.00, 1, 0, 1, 50.000, 20.00, 0.000
