Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
1.07963, 769.430, 0.00140315, 0.0787402, 38.57, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
3.74790, 769.468, 0.00487077, 0.0988856, 42.32, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
11.9823, 769.312, 0.0155754, 0.125186, 49.28, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
19.6360, 769.143, 0.0255297, 0.141156, 55.10, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
27.5804, 769.168, 0.0358575, 0.153040, 60.42, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
39.0702, 768.919, 0.0508119, 0.166252, 65.35, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
58.2088, 769.071, 0.0756871, 0.181650, 70.18, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
77.7338, 768.924, 0.101094, 0.196889, 75.13, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
96.9525, 768.938, 0.126086, 0.207772, 79.92, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
116.134, 769.037, 0.151013, 0.221791, 84.80, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
135.284, 768.736, 0.175983, 0.230855, 89.67, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
154.583, 768.746, 0.201084, 0.240752, 94.28, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
173.695, 768.601, 0.225989, 0.250368, 98.93, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
192.928, 768.508, 0.251042, 0.258995, 103.57, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
212.108, 768.475, 0.276012, 0.270567, 108.18, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
231.109, 768.384, 0.300772, 0.279275, 112.82, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
269.500, 768.476, 0.350694, 0.290370, 116.67, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
308.088, 768.347, 0.400976, 0.301251, 120.53, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
346.049, 768.429, 0.450333, 0.315789, 123.68, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
384.209, 768.064, 0.500230, 0.327782, 126.90, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
422.914, 768.149, 0.550563, 0.338801, 130.05, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
461.408, 768.194, 0.600640, 0.354550, 133.18, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
498.859, 768.080, 0.649488, 0.363382, 136.38, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
537.821, 767.960, 0.700324, 0.381436, 139.55, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
576.028, 768.094, 0.749945, 0.397063, 142.67, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
614.208, 768.143, 0.799601, 0.424254, 145.88, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
652.700, 768.182, 0.849669, 0.459641, 149.07, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
691.011, 767.972, 0.899787, 0.499037, 152.30, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
728.290, 768.038, 0.948248, 0.588179, 155.50, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
764.172, 768.100, 0.994886, 0.858409, 161.15, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
729.313, 767.982, 0.949648, 0.686330, 166.55, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
692.537, 768.051, 0.901682, 0.609104, 169.20, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
654.476, 768.132, 0.852036, 0.564717, 172.37, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
614.826, 768.006, 0.800549, 0.528428, 175.07, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
539.561, 767.849, 0.702691, 0.495516, 178.40, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
461.575, 767.826, 0.601145, 0.462615, 181.10, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
385.002, 767.742, 0.501473, 0.435031, 184.33, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
308.560, 767.905, 0.401821, 0.386024, 187.10, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
231.593, 767.858, 0.301609, 0.366715, 191.15, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
154.654, 767.745, 0.201439, 0.343785, 195.08, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
76.9050, 767.969, 0.100141, 0.312395, 201.60, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
