Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
0.990119, 769.336, 0.00128698, 0.193469, 46.78, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
3.18837, 769.245, 0.0041448, 0.249124, 52.78, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
11.0979, 769.135, 0.014429, 0.318147, 58.08, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
19.3845, 769.020, 0.0252067, 0.356877, 63.05, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
27.2027, 769.163, 0.0353666, 0.383072, 67.83, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
38.1273, 769.134, 0.0495718, 0.411363, 72.82, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
57.9110, 768.753, 0.0753311, 0.449434, 77.60, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
77.6687, 769.092, 0.100988, 0.479301, 82.45, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
96.8550, 768.804, 0.125981, 0.506739, 87.33, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
116.145, 768.688, 0.151095, 0.531057, 91.95, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
135.178, 768.610, 0.175873, 0.553788, 96.60, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
154.547, 768.551, 0.201089, 0.573715, 101.28, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
173.663, 768.495, 0.225978, 0.594574, 105.85, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
192.873, 768.286, 0.251043, 0.615747, 110.50, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
212.123, 768.428, 0.276048, 0.632779, 115.12, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
231.373, 768.290, 0.301153, 0.648946, 118.95, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
269.140, 768.273, 0.350319, 0.681011, 122.05, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
307.548, 768.280, 0.400307, 0.716809, 125.30, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
345.487, 768.179, 0.449748, 0.749109, 128.50, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
384.082, 768.217, 0.499965, 0.781358, 131.63, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
422.433, 768.242, 0.549870, 0.822600, 134.80, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
460.781, 768.110, 0.599889, 0.858583, 138.00, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
498.027, 767.985, 0.648485, 0.901858, 141.07, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
537.472, 768.110, 0.699733, 0.953504, 144.25, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
575.506, 768.024, 0.749334, 1.01570, 147.47, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
613.353, 768.069, 0.798566, 1.10451, 150.65, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
651.020, 768.055, 0.847622, 1.21051, 153.88, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
688.943, 767.934, 0.897139, 1.38691, 157.07, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
728.455, 767.877, 0.948662, 1.82218, 162.72, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
761.293, 768.025, 0.991235, 2.93117, 170.80, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
731.769, 767.927, 0.952914, 2.45172, 176.72, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
692.778, 767.762, 0.902335, 1.77293, 182.72, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
653.286, 767.956, 0.850682, 1.42454, 188.78, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
616.691, 767.786, 0.803207, 1.29683, 192.77, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
537.329, 767.924, 0.699716, 1.09769, 199.23, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
463.661, 767.917, 0.603791, 0.998652, 203.17, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
386.255, 767.899, 0.503003, 0.916239, 204.73, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
309.728, 767.753, 0.403421, 0.808481, 206.47, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
232.218, 767.703, 0.302484, 0.743616, 208.83, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
155.353, 767.665, 0.202370, 0.676588, 211.35, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
75.0521, 767.823, 0.0977467, 0.587668, 215.18, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
