Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
0.885661, 761.927, 0.0011624, 17.7789, 454.95, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
3.00473, 762.038, 0.00394303, 20.0761, 492.37, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
8.67780, 762.171, 0.0113856, 22.2410, 504.77, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
17.2134, 762.309, 0.0225806, 23.9843, 517.83, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
24.8233, 762.425, 0.0325584, 25.0784, 527.08, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
35.7844, 762.366, 0.0469386, 26.3522, 537.65, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
54.6004, 762.253, 0.0716303, 27.9944, 548.00, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
74.8183, 762.180, 0.0981636, 29.3468, 557.83, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
92.6218, 762.143, 0.121528, 30.3000, 565.37, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
112.279, 762.125, 0.147324, 31.1666, 572.55, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
132.165, 762.261, 0.173385, 31.8876, 579.37, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
151.742, 762.383, 0.199036, 32.4736, 585.70, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
171.085, 761.823, 0.224573, 32.9668, 591.88, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
190.179, 761.874, 0.249620, 33.3638, 597.98, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
209.461, 761.764, 0.274968, 33.6987, 604.48, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
226.330, 761.775, 0.297108, 33.9188, 608.30, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
265.823, 761.696, 0.348988, 34.3368, 613.77, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
304.587, 761.657, 0.399900, 34.6218, 619.35, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
339.891, 761.700, 0.446227, 34.8013, 622.42, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
377.942, 761.773, 0.496135, 34.9876, 625.55, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
416.775, 761.780, 0.547106, 35.1595, 628.70, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
454.913, 761.890, 0.597085, 35.3159, 631.87, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
493.016, 761.868, 0.647115, 35.4787, 635.08, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
531.147, 761.831, 0.697199, 35.6366, 638.47, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
568.575, 761.932, 0.746228, 35.7871, 641.80, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
606.626, 761.857, 0.796247, 35.9619, 645.23, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
647.770, 761.940, 0.850159, 36.2180, 651.88, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
685.630, 762.049, 0.899719, 36.4992, 658.50, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
723.284, 762.145, 0.949011, 36.9282, 665.40, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
755.641, 762.170, 0.991435, 38.1207, 676.10, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
727.021, 762.246, 0.953787, 37.3820, 684.02, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
687.337, 762.424, 0.901515, 36.8289, 692.65, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
648.529, 762.155, 0.850915, 36.5578, 703.97, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
611.786, 762.247, 0.802609, 36.4634, 710.35, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
533.529, 762.313, 0.699881, 36.1497, 715.37, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
456.997, 762.254, 0.599533, 35.8711, 720.38, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
381.564, 762.202, 0.500608, 35.6260, 725.27, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
305.564, 762.382, 0.400802, 35.0495, 730.15, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
229.471, 762.176, 0.301074, 34.4037, 735.90, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
153.279, 762.308, 0.201073, 33.0018, 744.68, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
77.6534, 762.382, 0.101856, 30.0160, 761.92, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
