Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
0.891097, 759.157, 0.0011738, 17.3286, 360.07, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
2.98335, 759.534, 0.00392787, 20.1349, 397.15, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
9.54300, 759.801, 0.0125599, 23.2260, 406.72, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
17.2175, 759.972, 0.0226555, 25.3038, 414.23, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
25.1359, 760.079, 0.033070, 26.9059, 421.23, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
35.6325, 760.367, 0.0468623, 28.6162, 429.93, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
54.2172, 760.513, 0.0712903, 30.7516, 438.43, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
75.4270, 760.769, 0.0991457, 32.4143, 447.32, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
93.0318, 760.872, 0.122270, 33.3964, 453.40, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
112.843, 760.807, 0.148321, 34.2203, 458.80, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
132.849, 760.911, 0.174593, 34.8582, 463.55, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
152.235, 761.155, 0.200005, 35.3466, 467.82, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
171.609, 761.005, 0.225504, 35.7522, 471.93, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
190.942, 761.254, 0.250825, 36.0953, 476.85, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
206.758, 761.280, 0.271592, 36.3177, 479.52, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
225.425, 761.282, 0.296112, 36.5655, 482.33, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
266.263, 761.299, 0.349748, 36.9552, 484.98, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
301.528, 761.433, 0.396001, 37.2005, 486.67, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
339.925, 761.422, 0.446435, 37.4201, 488.32, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
377.844, 761.426, 0.496232, 37.6027, 490.00, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
416.895, 761.548, 0.547431, 37.7613, 491.60, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
454.813, 761.444, 0.597303, 37.9046, 493.18, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
493.934, 761.414, 0.648706, 38.0322, 494.77, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
531.381, 761.471, 0.697835, 38.1500, 496.42, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
569.751, 761.381, 0.748313, 38.2617, 498.02, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
607.679, 761.229, 0.798287, 38.3663, 499.57, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
645.062, 761.226, 0.847399, 38.4711, 501.18, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
683.074, 761.320, 0.897222, 38.5879, 502.80, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
720.882, 761.371, 0.946821, 38.7102, 504.40, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
754.581, 761.401, 0.991044, 38.9190, 506.00, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
725.255, 761.390, 0.952541, 38.8732, 507.57, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
687.588, 761.408, 0.903048, 38.7617, 509.15, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
649.407, 761.505, 0.852795, 38.6702, 510.70, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
611.408, 761.360, 0.803047, 38.5974, 512.27, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
532.615, 761.366, 0.699552, 38.4114, 514.98, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
456.543, 761.385, 0.599621, 38.2064, 518.07, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
380.893, 761.384, 0.500264, 37.9637, 520.78, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
304.605, 761.300, 0.400112, 37.6226, 523.48, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
229.164, 761.271, 0.301028, 36.9841, 527.33, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
154.575, 761.307, 0.203040, 35.8418, 532.57, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
77.0537, 761.294, 0.101214, 33.0453, 541.18, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
