Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
1.07653, 760.526, 0.00141551, 0.0826132, 35.22, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
3.66120, 760.429, 0.00481465, 0.0975605, 38.97, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
11.8262, 760.403, 0.0155525, 0.115353, 42.55, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
19.6592, 760.197, 0.0258606, 0.124310, 45.98, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
27.1920, 760.265, 0.0357665, 0.132619, 49.37, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
38.2942, 760.082, 0.0503817, 0.141388, 52.73, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
57.6769, 759.989, 0.0758917, 0.151968, 56.17, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
76.6787, 759.892, 0.100907, 0.160380, 59.50, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
96.0792, 759.817, 0.126450, 0.168637, 62.85, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
115.053, 759.741, 0.151437, 0.175476, 66.27, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
134.012, 759.593, 0.176426, 0.181352, 69.67, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
152.907, 759.625, 0.201292, 0.186659, 73.05, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
171.620, 759.676, 0.225912, 0.192880, 76.47, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
190.661, 759.515, 0.251030, 0.198225, 79.82, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
209.242, 759.333, 0.275561, 0.205104, 83.15, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
227.821, 759.487, 0.299967, 0.208290, 86.53, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
266.063, 759.466, 0.350329, 0.214690, 89.17, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
304.441, 759.202, 0.401001, 0.221418, 91.85, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
342.103, 759.370, 0.450510, 0.226458, 94.55, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
379.942, 759.204, 0.500448, 0.229883, 97.27, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
418.107, 759.214, 0.550710, 0.237791, 100.00, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
456.075, 759.139, 0.600779, 0.243412, 102.78, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
493.887, 759.057, 0.650659, 0.250742, 105.57, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
530.830, 759.033, 0.699350, 0.257995, 108.37, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
569.098, 759.042, 0.749759, 0.266567, 111.23, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
607.347, 758.908, 0.800290, 0.275386, 114.12, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
645.213, 759.134, 0.849934, 0.296534, 117.05, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
682.583, 758.873, 0.899470, 0.319081, 119.98, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
720.308, 759.081, 0.948921, 0.365976, 122.87, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
752.478, 758.969, 0.991447, 0.532802, 125.85, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
723.128, 758.802, 0.952987, 0.419302, 128.72, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
684.055, 758.870, 0.901414, 0.367261, 131.57, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
645.588, 758.707, 0.850905, 0.347753, 134.42, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
607.263, 758.910, 0.800178, 0.329056, 137.32, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
532.553, 758.788, 0.701846, 0.317615, 140.05, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
455.610, 758.881, 0.600371, 0.313002, 142.77, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
380.492, 758.826, 0.501422, 0.303684, 145.40, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
304.515, 758.816, 0.401302, 0.292589, 148.02, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
228.611, 758.776, 0.301289, 0.281501, 151.40, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
152.604, 758.714, 0.201135, 0.268596, 154.87, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
75.9375, 758.727, 0.100085, 0.246704, 160.68, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
