Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
0.903900, 757.591, 0.00119312, 13.4160, 372.38, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
2.99953, 756.861, 0.00396311, 14.5006, 396.45, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
9.13031, 756.684, 0.0120662, 15.8377, 404.78, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
18.0309, 756.578, 0.0238322, 16.8672, 412.83, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
24.8268, 756.682, 0.0328101, 17.4082, 417.92, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
36.0886, 756.727, 0.0476904, 18.1089, 424.55, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
54.4074, 756.641, 0.0719066, 18.9136, 430.83, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
74.4862, 756.728, 0.0984319, 19.5456, 436.33, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
95.1165, 756.820, 0.125679, 20.0321, 441.47, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
114.687, 756.712, 0.151559, 20.3804, 445.85, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
134.277, 756.737, 0.177442, 20.6558, 450.12, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
148.679, 756.551, 0.196522, 20.8237, 453.13, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
167.310, 756.712, 0.221102, 21.0009, 456.12, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
186.911, 756.683, 0.247013, 21.1501, 458.77, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
206.612, 756.752, 0.273025, 21.2751, 461.25, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
225.852, 756.684, 0.298476, 21.3809, 463.55, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
262.234, 756.631, 0.346580, 21.5273, 465.22, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
303.768, 756.656, 0.401462, 21.6900, 468.07, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
339.594, 756.674, 0.448799, 21.7948, 469.62, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
376.226, 756.688, 0.497201, 21.9007, 471.18, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
415.139, 756.625, 0.548672, 22.0041, 472.78, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
451.949, 756.636, 0.597314, 22.1018, 474.37, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
490.217, 756.642, 0.647886, 22.1976, 475.92, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
528.537, 756.700, 0.698476, 22.2924, 477.45, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
567.015, 756.621, 0.749405, 22.3886, 479.02, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
605.372, 756.552, 0.800172, 22.4950, 480.58, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
640.700, 756.695, 0.846709, 22.5992, 482.18, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
678.330, 756.753, 0.896370, 22.7400, 483.78, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
719.511, 756.602, 0.950977, 23.0100, 486.55, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
751.665, 756.696, 0.993351, 23.5251, 489.37, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
718.826, 756.693, 0.949957, 23.1899, 492.17, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
680.774, 756.660, 0.899708, 22.9335, 494.93, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
642.651, 756.438, 0.849576, 22.7955, 497.67, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
606.690, 756.533, 0.801934, 22.7070, 499.27, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
527.906, 756.427, 0.697894, 22.5361, 502.07, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
453.186, 756.371, 0.599158, 22.3885, 504.90, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
377.506, 756.354, 0.499113, 22.2238, 507.78, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
301.679, 756.370, 0.398851, 21.9177, 510.60, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
225.614, 756.321, 0.298304, 21.6230, 514.15, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
151.146, 756.279, 0.199854, 21.1120, 518.57, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
75.3271, 756.366, 0.0995907, 19.8596, 525.78, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
