Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
0.897765, 749.433, 0.00119793, 11.5658, 306.48, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
2.85125, 749.218, 0.00380563, 12.8504, 328.97, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
9.62760, 749.057, 0.012853, 14.3785, 342.00, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
16.1038, 748.973, 0.0215011, 15.1431, 348.82, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
23.8862, 748.931, 0.0318938, 15.8045, 355.18, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
35.0635, 748.634, 0.0468367, 16.5236, 362.72, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
53.9495, 748.613, 0.0720659, 17.3772, 370.03, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
73.8620, 748.568, 0.098671, 18.0229, 376.77, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
93.6251, 748.507, 0.125082, 18.5010, 382.83, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
112.760, 748.302, 0.150688, 18.8749, 389.20, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
128.409, 747.953, 0.171680, 19.1108, 393.22, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
147.127, 747.703, 0.196771, 19.3406, 396.97, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
165.691, 747.545, 0.221647, 19.5243, 400.55, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
184.873, 747.534, 0.247311, 19.6756, 404.02, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
203.793, 747.724, 0.272551, 19.8026, 407.48, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
222.921, 747.485, 0.298228, 19.9039, 410.92, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
259.563, 747.650, 0.347171, 20.0456, 413.65, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
297.384, 747.492, 0.397843, 20.1703, 416.43, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
335.017, 747.479, 0.448195, 20.2775, 419.20, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
372.484, 747.602, 0.498239, 20.3706, 421.98, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
409.568, 747.403, 0.547988, 20.4637, 424.78, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
447.569, 747.497, 0.598757, 20.5493, 427.67, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
484.356, 747.521, 0.647950, 20.6311, 430.52, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
522.282, 747.480, 0.698724, 20.7181, 433.50, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
559.505, 747.373, 0.748629, 20.8019, 436.42, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
596.762, 747.515, 0.798327, 20.8949, 439.42, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
633.958, 747.461, 0.848148, 21.0020, 442.38, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
670.695, 747.334, 0.897450, 21.1385, 445.35, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
709.896, 747.410, 0.949809, 21.4213, 450.90, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
741.500, 747.208, 0.992361, 22.0185, 456.63, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
710.932, 747.343, 0.951280, 21.6425, 462.12, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
672.841, 747.154, 0.900539, 21.3647, 467.65, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
636.754, 747.209, 0.852176, 21.2432, 470.57, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
599.196, 747.057, 0.802075, 21.1491, 473.47, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
522.547, 747.118, 0.699416, 20.9963, 478.72, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
448.166, 746.969, 0.599979, 20.8707, 483.95, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
376.386, 747.034, 0.503840, 20.7503, 486.68, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
298.865, 747.047, 0.400061, 20.4499, 491.75, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
223.973, 746.937, 0.299855, 20.1947, 497.63, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
149.721, 746.794, 0.200485, 19.7011, 503.50, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
75.9131, 746.710, 0.101663, 18.4810, 512.72, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
